ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman,Cicilan
10,AHMAD,C,55000000,18,55000000.0,3055556
12,RIANA,B,100000000,48,100000000.0,2083333
14,RENITA,A,33000000,24,39600000.0,1650000
17,DIDIN,C,25000000,24,25000000.0,1041667
18,DUDUNG,C,75000000,36,75000000.0,2083333
33,RETNO,C,45000000,24,45000000.0,1875000
39,FAJAR,C,65000000,24,65000000.0,2708333
51,EKA,A,60000000,36,78000000.0,2166667
52,BERLIAN,A,85000000,60,127500000.0,2125000
55,RONI,B,35000000,24,35000000.0,1458333
65,JUANDA,A,60000000,48,84000000.0,1750000
71,DANANG,C,65000000,48,65000000.0,1354167
86,ANDIKA,A,35000000,24,42000000.0,1750000
